nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
HHALL00503,5040,3870,3,Tower,HALL,Hallway Connector 5 Floor 3,Hallway H00502
HHALL00603,5205,2775,3,Tower,HALL,Hallway Connector 6 Floor 3,Hallway H00603
HHALL00703,5205,2700,3,Tower,HALL,Hallway Connector 7 Floor 3,Hallway H00703
HHALL00803,5205,2595,3,Tower,HALL,Hallway Connector 8 Floor 3,Hallway H00803
HHALL00903,5205,2460,3,Tower,HALL,Hallway Connector 9 Floor 3,Hallway H00903
HHALL01003,5355,2460,3,Tower,HALL,Hallway Connector 10 Floor 3,Hallway H01003
HHALL01103,5070,2460,3,Tower,HALL,Hallway Connector 11 Floor 3,Hallway H01103
HHALL01203,4800,2460,3,Tower,HALL,Hallway Connector 12 Floor 3,Hallway H01203
HHALL01303,4800,3090,3,Tower,HALL,Hallway Connector 13 Floor 3,Hallway H01303
HHALL01403,5205,3090,3,Tower,HALL,Hallway Connector 14 Floor 3,Hallway H01403
HHALL01503,5205,2955,3,Tower,HALL,Hallway Connector 15 Floor 3,Hallway H01503
HLABS00103,3705,2595,3,Tower,LABS,Reproductive Endocrine Labs,Reproductive Endocrine Labs
HSERV00103,5250,2595,3,Tower,SERV,Nursing Room,Nursing Room
HSTAI00103,5040,3825,3,Tower,STAI,Stairwell 1 Floor 3,Stairwell
WELEV00L03,5370,2775,3,Tower,ELEV,Elevator L Floor 3,Elevator L3
WELEV00M03,5445,3870,3,Tower,ELEV,Elevator M Floor 3,Elevator M3
CDEPT002L1,5940,2532,L1,Tower,DEPT,Day Surgery Family Waiting Floor L1,Department C002L1
CDEPT003L1,5535,2532,L1,Tower,DEPT,Day Surgery Family Waiting Exit Floor L1,Department C003L1
CHALL001L1,5196,2772,L1,Tower,HALL,Hallway 1 Floor L1,Hallway C001L1
CHALL005L1,5250,3852,L1,Tower,HALL,Hallway 5 Floor L1,Hallway C005L1
CHALL006L1,6390,3852,L1,Tower,HALL,Hallway 6 Floor L1,Hallway C006L1
CHALL007L1,6390,3135,L1,Tower,HALL,Hallway 7 Floor L1,Hallway C007L1
CHALL014L1,5535,2772,L1,Tower,HALL,Hallway 14 Floor L1,Hallway C014L1
CLABS001L1,5895,3852,L1,Tower,LABS,Outpatient Fluoroscopy Floor L1,Lab C001L1
CLABS002L1,5250,3270,L1,Tower,LABS,Pre-Op PACU Floor L1,Lab C002L1
CREST001L1,5196,3057,L1,Tower,REST,Restroom L Elevator Floor L1,Restroom C001L1
CREST002L1,6195,3852,L1,Tower,REST,Restroom M Elevator Floor L1,Restroom C002L1
WELEV00LL1,5355,2772,L1,Tower,ELEV,Elevator L Floor L1,Elevator LL1
WELEV00ML1,5460,3852,L1,Tower,ELEV,Elevator M Floor L1,Elevator ML1
CHALL005L2,5235,3840,L2,Tower,HALL,Hallway 5 Floor L2,Hallway C005L2
CHALL006L2,5235,3027,L2,Tower,HALL,Hallway 6 Floor L2,Hallway C006L2
CHALL007L2,5190,3027,L2,Tower,HALL,Hallway 7 Floor L2,Hallway C007L2
CHALL008L2,5190,2772,L2,Tower,HALL,Hallway 8 Floor L2,Hallway C008L2
CHALL009L2,5190,2547,L2,Tower,HALL,Hallway 9 Floor L2,Hallway C009L2
CHALL010L2,6390,2547,L2,Tower,HALL,Hallway 10 Floor L2,Hallway C010L2
WELEV00LL2,5355,2772,L2,Tower,ELEV,Elevator L Floor L2,Elevator LL2
WELEV00ML2,5460,3840,L2,Tower,ELEV,Elevator M Floor L2,Elevator ML2
WHALL001L2,5235,4572,L2,Tower,HALL,Hallway Connector 1 Floor L2,Hallway W01L2
ySTOR001L1,5193,2550,L1,Shapiro,STOR,Operating Room Bed Park L1,OR Bed Park L1
ySTOR00101,4536,2787,1,Tower,STOR,West Plaza,Wplaza
ySTOR00103,4521,2364,3,Tower,STOR,Floor 3 Pod B Clean Equipment Storage,B3 Clean Equipment
ySTOR00203,4521,3177,3,Tower,STOR,Floor 3 Pod C Clean Equipment Storage,C3 Clean Equipment
yDIRT00103,4605,2778,3,Tower,DIRT,Floor 3 Dirty Equipment Storage,03 Dirty Equipment
yPATI00103,4497,2610,3,Tower,PATI,Floor 3 Pod B Patient Room 1,B3 Patient 1
yPATI00203,4380,2535,3,Tower,PATI,Floor 3 Pod B Patient Room 2,B3 Patient 2
yPATI00303,4299,2406,3,Tower,PATI,Floor 3 Pod B Patient Room 3,B3 Patient 3
yPATI00403,4290,2277,3,Tower,PATI,Floor 3 Pod B Patient Room 4,B3 Patient 4
yPATI00503,4335,2148,3,Tower,PATI,Floor 3 Pod B Patient Room 5,B3 Patient 5
yPATI00603,4431,2073,3,Tower,PATI,Floor 3 Pod B Patient Room 6,B3 Patient 6
yPATI00703,4551,2025,3,Tower,PATI,Floor 3 Pod B Patient Room 7,B3 Patient 7
yPATI00803,4683,2043,3,Tower,PATI,Floor 3 Pod B Patient Room 8,B3 Patient 8
yPATI00903,4800,2121,3,Tower,PATI,Floor 3 Pod B Patient Room 9,B3 Patient 9
yPATI01003,4860,2250,3,Tower,PATI,Floor 3 Pod B Patient Room 10,B3 Patient 10
yPATI01103,4461,2913,3,Tower,PATI,Floor 3 Pod C Patient Room 1,C3 Patient 1
yPATI01203,4305,3036,3,Tower,PATI,Floor 3 Pod C Patient Room 2,C3 Patient 2
yPATI01303,4236,3159,3,Tower,PATI,Floor 3 Pod C Patient Room 3,C3 Patient 3
yPATI01403,4245,3369,3,Tower,PATI,Floor 3 Pod C Patient Room 4,C3 Patient 4
yPATI01503,4299,3462,3,Tower,PATI,Floor 3 Pod C Patient Room 5,C3 Patient 5
yPATI01603,4461,3585,3,Tower,PATI,Floor 3 Pod C Patient Room 6,C3 Patient 6
yPATI01703,4569,3609,3,Tower,PATI,Floor 3 Pod C Patient Room 7,C3 Patient 7
yPATI01803,4479,3549,3,Tower,PATI,Floor 3 Pod C Patient Room 8,C3 Patient 8
yPATI01903,4569,3456,3,Tower,PATI,Floor 3 Pod C Patient Room 9,C3 Patient 9
yPATI02003,4635,3255,3,Tower,PATI,Floor 3 Pod C Patient Room 10,C3 Patient 10
ySTOR00303,4866,3102,3,Tower,STOR,Bed and Recliner Parking North,B&R North
ySTOR00403,4950,5430,3,Tower,STOR,Bed and Recliner Parking South,B&R South
ySTOR00104,4521,2364,4,Tower,STOR,Floor 4 Pod B Clean Equipment Storage,B4 Clean Equipment
ySTOR00204,4521,3177,4,Tower,STOR,Floor 4 Pod C Clean Equipment Storage,C4 Clean Equipment
yDIRT00104,4605,2778,4,Tower,DIRT,Floor 4 Dirty Equipment Storage,04 Dirty Equipment
yPATI00104,4497,2610,4,Tower,PATI,Floor 4 Pod B Patient Room 1,B4 Patient 1
yPATI00204,4380,2535,4,Tower,PATI,Floor 4 Pod B Patient Room 2,B4 Patient 2
yPATI00304,4299,2406,4,Tower,PATI,Floor 4 Pod B Patient Room 3,B4 Patient 3
yPATI00404,4290,2277,4,Tower,PATI,Floor 4 Pod B Patient Room 4,B4 Patient 4
yPATI00504,4335,2148,4,Tower,PATI,Floor 4 Pod B Patient Room 5,B4 Patient 5
yPATI00604,4431,2073,4,Tower,PATI,Floor 4 Pod B Patient Room 6,B4 Patient 6
yPATI00704,4551,2025,4,Tower,PATI,Floor 4 Pod B Patient Room 7,B4 Patient 7
yPATI00804,4683,2043,4,Tower,PATI,Floor 4 Pod B Patient Room 8,B4 Patient 8
yPATI00904,4800,2121,4,Tower,PATI,Floor 4 Pod B Patient Room 9,B4 Patient 9
yPATI01004,4860,2250,4,Tower,PATI,Floor 4 Pod B Patient Room 10,B4 Patient 10
yPATI01104,4461,2913,4,Tower,PATI,Floor 4 Pod C Patient Room 1,C4 Patient 1
yPATI01204,4305,3036,4,Tower,PATI,Floor 4 Pod C Patient Room 2,C4 Patient 2
yPATI01304,4236,3159,4,Tower,PATI,Floor 4 Pod C Patient Room 3,C4 Patient 3
yPATI01404,4245,3369,4,Tower,PATI,Floor 4 Pod C Patient Room 4,C4 Patient 4
yPATI01504,4299,3462,4,Tower,PATI,Floor 4 Pod C Patient Room 5,C4 Patient 5
yPATI01604,4461,3585,4,Tower,PATI,Floor 4 Pod C Patient Room 6,C4 Patient 6
yPATI01704,4569,3609,4,Tower,PATI,Floor 4 Pod C Patient Room 7,C4 Patient 7
yPATI01804,4479,3549,4,Tower,PATI,Floor 4 Pod C Patient Room 8,C4 Patient 8
yPATI01904,4569,3456,4,Tower,PATI,Floor 4 Pod C Patient Room 9,C4 Patient 9
yPATI02004,4635,3255,4,Tower,PATI,Floor 4 Pod C Patient Room 10,C4 Patient 10
ySTOR00304,4866,3102,4,Tower,STOR,Bed and Recliner Parking North,B&R North
ySTOR00404,4950,5430,4,Tower,STOR,Bed and Recliner Parking South,B&R South
ySTOR00105,4521,2364,5,Tower,STOR,Floor 5 Pod B Clean Equipment Storage,B5 Clean Equipment
ySTOR00205,4521,3177,5,Tower,STOR,Floor 5 Pod C Clean Equipment Storage,C5 Clean Equipment
yDIRT00105,4605,2778,5,Tower,DIRT,Floor 5 Dirty Equipment Storage,05 Dirty Equipment
yPATI00105,4497,2610,5,Tower,PATI,Floor 5 Pod B Patient Room 1,B5 Patient 1
yPATI00205,4380,2535,5,Tower,PATI,Floor 5 Pod B Patient Room 2,B5 Patient 2
yPATI00305,4299,2406,5,Tower,PATI,Floor 5 Pod B Patient Room 3,B5 Patient 3
yPATI00405,4290,2277,5,Tower,PATI,Floor 5 Pod B Patient Room 4,B5 Patient 4
yPATI00505,4335,2148,5,Tower,PATI,Floor 5 Pod B Patient Room 5,B5 Patient 5
yPATI00605,4431,2073,5,Tower,PATI,Floor 5 Pod B Patient Room 6,B5 Patient 6
yPATI00705,4551,2025,5,Tower,PATI,Floor 5 Pod B Patient Room 7,B5 Patient 7
yPATI00805,4683,2043,5,Tower,PATI,Floor 5 Pod B Patient Room 8,B5 Patient 8
yPATI00905,4800,2121,5,Tower,PATI,Floor 5 Pod B Patient Room 9,B5 Patient 9
yPATI01005,4860,2250,5,Tower,PATI,Floor 5 Pod B Patient Room 10,B5 Patient 10
yPATI01105,4461,2913,5,Tower,PATI,Floor 5 Pod C Patient Room 1,C5 Patient 1
yPATI01205,4305,3036,5,Tower,PATI,Floor 5 Pod C Patient Room 2,C5 Patient 2
yPATI01305,4236,3159,5,Tower,PATI,Floor 5 Pod C Patient Room 3,C5 Patient 3
yPATI01405,4245,3369,5,Tower,PATI,Floor 5 Pod C Patient Room 4,C5 Patient 4
yPATI01505,4299,3462,5,Tower,PATI,Floor 5 Pod C Patient Room 5,C5 Patient 5
yPATI01605,4461,3585,5,Tower,PATI,Floor 5 Pod C Patient Room 6,C5 Patient 6
yPATI01705,4569,3609,5,Tower,PATI,Floor 5 Pod C Patient Room 7,C5 Patient 7
yPATI01805,4479,3549,5,Tower,PATI,Floor 5 Pod C Patient Room 8,C5 Patient 8
yPATI01905,4569,3456,5,Tower,PATI,Floor 5 Pod C Patient Room 9,C5 Patient 9
yPATI02005,4635,3255,5,Tower,PATI,Floor 5 Pod C Patient Room 10,C5 Patient 10
ySTOR00305,4866,3102,5,Tower,STOR,Bed and Recliner Parking North,B&R North
ySTOR00405,4950,5430,5,Tower,STOR,Bed and Recliner Parking South,B&R South
